epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.7235,3.58808,7.10561,2.59216,0.00464,0.61111,0.12508,0.05779,2.5883,3.82194,2.07352,3.334e-05,3.334e-05,3.334e-05
2,69.0437,2.44052,4.58178,1.93558,0.86404,0.16667,0.39779,0.23338,2.20952,4.01432,1.7832,8.25248e-05,8.25248e-05,8.25248e-05
3,98.2723,1.49654,2.45672,1.39546,0.31265,0.88889,0.5618,0.36912,1.99225,12.378,1.71727,0.000130719,0.000130719,0.000130719
4,127.459,1.65086,2.39538,1.32797,0.23308,0.5,0.33418,0.31137,2.02979,6.15454,1.47702,0.000177924,0.000177924,0.000177924
5,155.578,1.45939,2.71451,1.17661,0.43071,0.55556,0.46108,0.29458,1.75537,10.1588,1.48596,0.000224138,0.000224138,0.000224138
6,184.139,0.9866,2.06742,1.11811,0.73574,0.33333,0.33187,0.14408,1.80445,9.33161,1.41129,0.000269362,0.000269362,0.000269362
7,211.36,1.20892,1.4828,1.14266,0.77696,0.34575,0.47276,0.20403,1.87923,5.75759,1.48536,0.000313596,0.000313596,0.000313596
8,240.654,2.29745,2.59037,1.33147,0.82129,0.33333,0.42731,0.21661,1.92886,3.4723,1.45381,0.00035684,0.00035684,0.00035684
9,268.196,1.16125,1.62106,1.16998,0.89723,0.21606,0.43406,0.23344,1.71904,2.17152,1.32213,0.000399093,0.000399093,0.000399093
10,293.366,1.23767,1.51104,1.10927,0.37159,0.72222,0.72461,0.51881,1.72798,2.7501,1.32921,0.000440356,0.000440356,0.000440356
11,320.735,1.15486,1.3155,1.12787,0.48909,0.82784,0.77269,0.51598,1.69516,2.85303,1.37942,0.000480629,0.000480629,0.000480629
12,348.281,1.22674,1.40511,1.19286,0.30072,0.94444,0.49414,0.30804,1.72889,4.55147,1.48791,0.000519912,0.000519912,0.000519912
13,372.827,0.83981,2.31904,0.80682,0.49395,0.5,0.26,0.14857,1.92656,9.55174,1.5829,0.000558205,0.000558205,0.000558205
14,400.734,1.25897,1.27643,1.1388,0.49293,0.38889,0.251,0.12774,2.03754,9.89251,1.82155,0.000595507,0.000595507,0.000595507
15,427.932,1.30592,1.13477,1.07744,0.34563,0.80452,0.3899,0.17449,2.22177,8.5908,1.878,0.00063182,0.00063182,0.00063182
16,452.486,1.39704,1.17774,1.33158,0.50387,0.66667,0.29098,0.17341,1.98255,10.988,1.62996,0.000667142,0.000667142,0.000667142
17,477.419,1.20604,1.45795,1.16799,0.45907,0.61111,0.38668,0.04661,2.40571,14.9965,2.09977,0.000701474,0.000701474,0.000701474
